pais,cod_zona,cod_ruta,desc_marca,objetivo_clientes
GT,10003,10020,CIELO,196
GT,10003,10020,CIFRUT,185
GT,10003,10020,PULP,98
GT,10003,10020,SPORADE,174
GT,10003,10020,VOLT,120
GT,10003,10020,KR,65
GT,10003,10020,BIO ALOE,44
GT,10003,10020,D GUSSTO,55
GT,10003,10021,BIG,197
GT,10003,10021,CIELO,209
GT,10003,10021,CIFRUT,197
GT,10003,10021,PULP,104
GT,10003,10021,SPORADE,186
GT,10003,10021,VOLT,128
GT,10003,10021,KR,70
GT,10003,10021,BIO ALOE,46
GT,10003,10021,D GUSSTO,58
GT,10003,10022,BIG,168
GT,10003,10022,CIELO,178
GT,10003,10022,CIFRUT,168
GT,10003,10022,PULP,89
GT,10003,10022,SPORADE,158
GT,10003,10022,VOLT,109
GT,10003,10022,KR,59
GT,10003,10022,BIO ALOE,40
GT,10003,10022,D GUSSTO,50
GT,10003,10023,BIG,192
GT,10003,10023,CIELO,203
GT,10003,10023,CIFRUT,192
GT,10003,10023,PULP,102
GT,10003,10023,SPORADE,181
GT,10003,10023,VOLT,124
GT,10003,10023,KR,68
GT,10003,10023,BIO ALOE,45
GT,10003,10023,D GUSSTO,57
GT,10003,10024,BIG,173
GT,10003,10024,CIELO,184
GT,10003,10024,CIFRUT,173
GT,10003,10024,PULP,92
GT,10003,10024,SPORADE,163
GT,10003,10024,VOLT,112
GT,10003,10024,KR,61
GT,10003,10024,BIO ALOE,41
GT,10003,10024,D GUSSTO,51
GT,10003,10025,BIG,149
GT,10003,10025,CIELO,158
GT,10003,10025,CIFRUT,149
GT,10003,10025,PULP,79
GT,10003,10025,SPORADE,140
GT,10003,10025,VOLT,96
GT,10003,10025,KR,53
GT,10003,10025,BIO ALOE,35
GT,10003,10025,D GUSSTO,44
GT,10004,10026,BIG,211
GT,10004,10026,CIELO,223
GT,10004,10026,CIFRUT,211
GT,10004,10026,PULP,112
GT,10004,10026,SPORADE,198
GT,10004,10026,VOLT,136
GT,10004,10026,KR,74
GT,10004,10026,BIO ALOE,50
GT,10004,10026,D GUSSTO,62
GT,10004,10027,BIG,162
GT,10004,10027,CIELO,172
GT,10004,10027,CIFRUT,162
GT,10004,10027,PULP,86
GT,10004,10027,SPORADE,153
GT,10004,10027,VOLT,105
GT,10004,10027,KR,57
GT,10004,10027,BIO ALOE,38
GT,10004,10027,D GUSSTO,48
GT,10004,10028,BIG,212
GT,10004,10028,CIELO,224
GT,10004,10028,CIFRUT,212
GT,10004,10028,PULP,112
GT,10004,10028,SPORADE,199
GT,10004,10028,VOLT,137
GT,10004,10028,KR,75
GT,10004,10028,BIO ALOE,50
GT,10004,10028,D GUSSTO,62
GT,10004,10029,BIG,213
GT,10004,10029,CIELO,226
GT,10004,10029,CIFRUT,213
GT,10004,10029,PULP,113
GT,10004,10029,SPORADE,201
GT,10004,10029,VOLT,138
GT,10004,10029,KR,75
GT,10004,10029,BIO ALOE,50
GT,10004,10029,D GUSSTO,63
GT,10004,10030,BIG,187
GT,10004,10030,CIELO,198
GT,10004,10030,CIFRUT,187
GT,10004,10030,PULP,99
GT,10004,10030,SPORADE,176
GT,10004,10030,VOLT,121
GT,10004,10030,KR,66
GT,10004,10030,BIO ALOE,44
GT,10004,10030,D GUSSTO,55
GT,10004,10031,BIG,227
GT,10004,10031,CIELO,240
GT,10004,10031,CIFRUT,227
GT,10004,10031,PULP,120
GT,10004,10031,SPORADE,214
GT,10004,10031,VOLT,147
GT,10004,10031,KR,80
GT,10004,10031,BIO ALOE,53
GT,10004,10031,D GUSSTO,67
GT,10004,10032,BIG,213
GT,10004,10032,CIELO,225
GT,10004,10032,CIFRUT,213
GT,10004,10032,PULP,113
GT,10004,10032,SPORADE,200
GT,10004,10032,VOLT,138
GT,10004,10032,KR,75
GT,10004,10032,BIO ALOE,50
GT,10004,10032,D GUSSTO,63
GT,10004,10033,BIG,213
GT,10004,10033,CIELO,225
GT,10004,10033,CIFRUT,213
GT,10004,10033,PULP,113
GT,10004,10033,SPORADE,200
GT,10004,10033,VOLT,138
GT,10004,10033,KR,75
GT,10004,10033,BIO ALOE,50
GT,10004,10033,D GUSSTO,63
GT,11001,11001,BIG,151
GT,11001,11001,CIELO,169
GT,11001,11001,CIFRUT,142
GT,11001,11001,PULP,80
GT,11001,11001,SPORADE,160
GT,11001,11001,VOLT,107
GT,11001,11001,KR,53
GT,11001,11001,BIO ALOE,36
GT,11001,11001,D GUSSTO,45
GT,11001,11002,BIG,192
GT,11001,11002,CIELO,215
GT,11001,11002,CIFRUT,181
GT,11001,11002,PULP,102
GT,11001,11002,SPORADE,203
GT,11001,11002,VOLT,136
GT,11001,11002,KR,68
GT,11001,11002,BIO ALOE,45
GT,11001,11002,D GUSSTO,57
GT,11001,11003,BIG,140
GT,11001,11003,CIELO,157
GT,11001,11003,CIFRUT,132
GT,11001,11003,PULP,74
GT,11001,11003,SPORADE,149
GT,11001,11003,VOLT,99
GT,11001,11003,KR,50
GT,11001,11003,BIO ALOE,33
